produto,eixo,orçamentário,ação,objetivo,prefeitura bairro,unidade,meta física,programa,extra
Trabalhador Qualificado,DESENVOLVIMENTO URBANO E ECONÔMICO,70734000,Qualificação e Certificação da Cadeia Produtiva,"Aumentar a atração de investimentos privados e estimular a economia da capital, incentivando setores que impulsionem os pontos fortes da cidade e firmando parcerias estratégicas com a iniciativa privada para criar um ambiente rico em oportunidades de emprego e geração de renda. Entre as principais iniciativas, estão a simplificação e a redução do tempo médio do licenciamento de empreendimentos, a oferta de incentivos para segmentos com elevada absorção de mão de obra, como teleatendimento e telecobrança, a estruturação do polo de economia criativa na capital e assegurar crédito para microempreendedores para diminuir a informalidade e, também, incentivar o setor audiovisual, assim como a geração de postos de trabalho em Salvador.",Subúrbio/Ilhas,Unidade,3110,"Estímulo aos Negócios, Emprego e Renda",2917393000
Hub de Tecnologia Implantado,DESENVOLVIMENTO URBANO E ECONÔMICO,70734000,Implantação Hub de Tecnologia para Desenvolvimento de Startups em Salvador - Salvador Inteligente,"Aumentar a atração de investimentos privados e estimular a economia da capital, incentivando setores que impulsionem os pontos fortes da cidade e firmando parcerias estratégicas com a iniciativa privada para criar um ambiente rico em oportunidades de emprego e geração de renda. Entre as principais iniciativas, estão a simplificação e a redução do tempo médio do licenciamento de empreendimentos, a oferta de incentivos para segmentos com elevada absorção de mão de obra, como teleatendimento e telecobrança, a estruturação do polo de economia criativa na capital e assegurar crédito para microempreendedores para diminuir a informalidade e, também, incentivar o setor audiovisual, assim como a geração de postos de trabalho em Salvador.",Inter-Regionais,Posto de Trabalho Ocupado,260,"Estímulo aos Negócios, Emprego e Renda",2917393000
Estudo Elaborado,DESENVOLVIMENTO URBANO E ECONÔMICO,70734000,Elaboração de Estudos p/ Viabilizar Concessões de PPPs e Outras Parcerias - Salvador Investe,"Aumentar a atração de investimentos privados e estimular a economia da capital, incentivando setores que impulsionem os pontos fortes da cidade e firmando parcerias estratégicas com a iniciativa privada para criar um ambiente rico em oportunidades de emprego e geração de renda. Entre as principais iniciativas, estão a simplificação e a redução do tempo médio do licenciamento de empreendimentos, a oferta de incentivos para segmentos com elevada absorção de mão de obra, como teleatendimento e telecobrança, a estruturação do polo de economia criativa na capital e assegurar crédito para microempreendedores para diminuir a informalidade e, também, incentivar o setor audiovisual, assim como a geração de postos de trabalho em Salvador.",Inter-Regionais,Unidade,8,"Estímulo aos Negócios, Emprego e Renda",2917393000
Projeto Implantado,DESENVOLVIMENTO URBANO E ECONÔMICO,70734000,Implantação de Projeto de Revitalização dos Armázens do Porto - Centro Histórico,"Aumentar a atração de investimentos privados e estimular a economia da capital, incentivando setores que impulsionem os pontos fortes da cidade e firmando parcerias estratégicas com a iniciativa privada para criar um ambiente rico em oportunidades de emprego e geração de renda. Entre as principais iniciativas, estão a simplificação e a redução do tempo médio do licenciamento de empreendimentos, a oferta de incentivos para segmentos com elevada absorção de mão de obra, como teleatendimento e telecobrança, a estruturação do polo de economia criativa na capital e assegurar crédito para microempreendedores para diminuir a informalidade e, também, incentivar o setor audiovisual, assim como a geração de postos de trabalho em Salvador.",Cidade Baixa,Percentual,100,"Estímulo aos Negócios, Emprego e Renda",2917393000
Programa Desenvolvido,DESENVOLVIMENTO URBANO E ECONÔMICO,70734000,Implantação do Estacionamento Subterrâneo - Centro Histórico,"Aumentar a atração de investimentos privados e estimular a economia da capital, incentivando setores que impulsionem os pontos fortes da cidade e firmando parcerias estratégicas com a iniciativa privada para criar um ambiente rico em oportunidades de emprego e geração de renda. Entre as principais iniciativas, estão a simplificação e a redução do tempo médio do licenciamento de empreendimentos, a oferta de incentivos para segmentos com elevada absorção de mão de obra, como teleatendimento e telecobrança, a estruturação do polo de economia criativa na capital e assegurar crédito para microempreendedores para diminuir a informalidade e, também, incentivar o setor audiovisual, assim como a geração de postos de trabalho em Salvador.",Cidade Baixa,Percentual,100,"Estímulo aos Negócios, Emprego e Renda",2917393000
Polo de Economia Criativa Implantado,DESENVOLVIMENTO URBANO E ECONÔMICO,70734000,Implantação do Polo de Economia Criativa - Salvador Criativa,"Aumentar a atração de investimentos privados e estimular a economia da capital, incentivando setores que impulsionem os pontos fortes da cidade e firmando parcerias estratégicas com a iniciativa privada para criar um ambiente rico em oportunidades de emprego e geração de renda. Entre as principais iniciativas, estão a simplificação e a redução do tempo médio do licenciamento de empreendimentos, a oferta de incentivos para segmentos com elevada absorção de mão de obra, como teleatendimento e telecobrança, a estruturação do polo de economia criativa na capital e assegurar crédito para microempreendedores para diminuir a informalidade e, também, incentivar o setor audiovisual, assim como a geração de postos de trabalho em Salvador.",Inter-Regionais,Percentual,100,"Estímulo aos Negócios, Emprego e Renda",2917393000
Ações Implantadas,DESENVOLVIMENTO URBANO E ECONÔMICO,70734000,Implementação de Ações de Fortalecimento da Economia da Base da Pirâmide - Inclusão Econômica,"Aumentar a atração de investimentos privados e estimular a economia da capital, incentivando setores que impulsionem os pontos fortes da cidade e firmando parcerias estratégicas com a iniciativa privada para criar um ambiente rico em oportunidades de emprego e geração de renda. Entre as principais iniciativas, estão a simplificação e a redução do tempo médio do licenciamento de empreendimentos, a oferta de incentivos para segmentos com elevada absorção de mão de obra, como teleatendimento e telecobrança, a estruturação do polo de economia criativa na capital e assegurar crédito para microempreendedores para diminuir a informalidade e, também, incentivar o setor audiovisual, assim como a geração de postos de trabalho em Salvador.",Inter-Regionais,Unidade,55,"Estímulo aos Negócios, Emprego e Renda",2917393000
Ações de Reestruturação Realizadas,DESENVOLVIMENTO URBANO E ECONÔMICO,70734000,Reestruturação de Sistemas de Licenciamento - Portal Simplifica,"Aumentar a atração de investimentos privados e estimular a economia da capital, incentivando setores que impulsionem os pontos fortes da cidade e firmando parcerias estratégicas com a iniciativa privada para criar um ambiente rico em oportunidades de emprego e geração de renda. Entre as principais iniciativas, estão a simplificação e a redução do tempo médio do licenciamento de empreendimentos, a oferta de incentivos para segmentos com elevada absorção de mão de obra, como teleatendimento e telecobrança, a estruturação do polo de economia criativa na capital e assegurar crédito para microempreendedores para diminuir a informalidade e, também, incentivar o setor audiovisual, assim como a geração de postos de trabalho em Salvador.",Inter-Regionais,Unidade,204,"Estímulo aos Negócios, Emprego e Renda",2917393000
Rede Integrada,DESENVOLVIMENTO URBANO E ECONÔMICO,70734000,Integração de Órgãos e Processos na Plataforma RedeSim - Abertura de Empresa - Simplifica Salvador,"Aumentar a atração de investimentos privados e estimular a economia da capital, incentivando setores que impulsionem os pontos fortes da cidade e firmando parcerias estratégicas com a iniciativa privada para criar um ambiente rico em oportunidades de emprego e geração de renda. Entre as principais iniciativas, estão a simplificação e a redução do tempo médio do licenciamento de empreendimentos, a oferta de incentivos para segmentos com elevada absorção de mão de obra, como teleatendimento e telecobrança, a estruturação do polo de economia criativa na capital e assegurar crédito para microempreendedores para diminuir a informalidade e, também, incentivar o setor audiovisual, assim como a geração de postos de trabalho em Salvador.",Inter-Regionais,Percentual,100,"Estímulo aos Negócios, Emprego e Renda",2917393000
Sistema de Fiscalização e Monitoramento Implantado,DESENVOLVIMENTO URBANO E ECONÔMICO,70734000,Implantação de Sistemas de Fiscalização e Monitoramento de Empreendimento Licenciado - Salvador Simplifica,"Aumentar a atração de investimentos privados e estimular a economia da capital, incentivando setores que impulsionem os pontos fortes da cidade e firmando parcerias estratégicas com a iniciativa privada para criar um ambiente rico em oportunidades de emprego e geração de renda. Entre as principais iniciativas, estão a simplificação e a redução do tempo médio do licenciamento de empreendimentos, a oferta de incentivos para segmentos com elevada absorção de mão de obra, como teleatendimento e telecobrança, a estruturação do polo de economia criativa na capital e assegurar crédito para microempreendedores para diminuir a informalidade e, também, incentivar o setor audiovisual, assim como a geração de postos de trabalho em Salvador.",Inter-Regionais,Unidade,28000,"Estímulo aos Negócios, Emprego e Renda",2917393000
Banco de Dados Implantado,DESENVOLVIMENTO URBANO E ECONÔMICO,70734000,"Implantação de Banco de Dados Cadastrais e Transacionais de Pessoas Físicas, Imóveis e Empresas - Salvador Inteligente","Aumentar a atração de investimentos privados e estimular a economia da capital, incentivando setores que impulsionem os pontos fortes da cidade e firmando parcerias estratégicas com a iniciativa privada para criar um ambiente rico em oportunidades de emprego e geração de renda. Entre as principais iniciativas, estão a simplificação e a redução do tempo médio do licenciamento de empreendimentos, a oferta de incentivos para segmentos com elevada absorção de mão de obra, como teleatendimento e telecobrança, a estruturação do polo de economia criativa na capital e assegurar crédito para microempreendedores para diminuir a informalidade e, também, incentivar o setor audiovisual, assim como a geração de postos de trabalho em Salvador.",Inter-Regionais,Percentual,100,"Estímulo aos Negócios, Emprego e Renda",2917393000
Polo de Captação Implantado P,DESENVOLVIMENTO URBANO E ECONÔMICO,70734000,Implantação de Polo de Capacitação para Setor de Teleatendimento - Salvador Negócios,"Aumentar a atração de investimentos privados e estimular a economia da capital, incentivando setores que impulsionem os pontos fortes da cidade e firmando parcerias estratégicas com a iniciativa privada para criar um ambiente rico em oportunidades de emprego e geração de renda. Entre as principais iniciativas, estão a simplificação e a redução do tempo médio do licenciamento de empreendimentos, a oferta de incentivos para segmentos com elevada absorção de mão de obra, como teleatendimento e telecobrança, a estruturação do polo de economia criativa na capital e assegurar crédito para microempreendedores para diminuir a informalidade e, também, incentivar o setor audiovisual, assim como a geração de postos de trabalho em Salvador.",Inter-Regionais,essoas Capacitadas,20800,"Estímulo aos Negócios, Emprego e Renda",2917393000
Eventos Apoiados e Realizados,DESENVOLVIMENTO URBANO E ECONÔMICO,70734000,Realização de Fóruns de Negócios - Salvador 360,"Aumentar a atração de investimentos privados e estimular a economia da capital, incentivando setores que impulsionem os pontos fortes da cidade e firmando parcerias estratégicas com a iniciativa privada para criar um ambiente rico em oportunidades de emprego e geração de renda. Entre as principais iniciativas, estão a simplificação e a redução do tempo médio do licenciamento de empreendimentos, a oferta de incentivos para segmentos com elevada absorção de mão de obra, como teleatendimento e telecobrança, a estruturação do polo de economia criativa na capital e assegurar crédito para microempreendedores para diminuir a informalidade e, também, incentivar o setor audiovisual, assim como a geração de postos de trabalho em Salvador.",Inter-Regionais,Unidade,48,"Estímulo aos Negócios, Emprego e Renda",2917393000
Serviço Implantado e Implementado,DESENVOLVIMENTO URBANO E ECONÔMICO,70734000,Implantação e Implementação dos Serviços de Intermediação de Mão de Obra,"Aumentar a atração de investimentos privados e estimular a economia da capital, incentivando setores que impulsionem os pontos fortes da cidade e firmando parcerias estratégicas com a iniciativa privada para criar um ambiente rico em oportunidades de emprego e geração de renda. Entre as principais iniciativas, estão a simplificação e a redução do tempo médio do licenciamento de empreendimentos, a oferta de incentivos para segmentos com elevada absorção de mão de obra, como teleatendimento e telecobrança, a estruturação do polo de economia criativa na capital e assegurar crédito para microempreendedores para diminuir a informalidade e, também, incentivar o setor audiovisual, assim como a geração de postos de trabalho em Salvador.",Centro/Brotas,Unidade,4,"Estímulo aos Negócios, Emprego e Renda",2917393000
Mobiliário Urbano Ampliado,DESENVOLVIMENTO URBANO E ECONÔMICO,70734000,Fomento a Ampliação de Mobiliário Urbano - Salvador Investe,"Aumentar a atração de investimentos privados e estimular a economia da capital, incentivando setores que impulsionem os pontos fortes da cidade e firmando parcerias estratégicas com a iniciativa privada para criar um ambiente rico em oportunidades de emprego e geração de renda. Entre as principais iniciativas, estão a simplificação e a redução do tempo médio do licenciamento de empreendimentos, a oferta de incentivos para segmentos com elevada absorção de mão de obra, como teleatendimento e telecobrança, a estruturação do polo de economia criativa na capital e assegurar crédito para microempreendedores para diminuir a informalidade e, também, incentivar o setor audiovisual, assim como a geração de postos de trabalho em Salvador.",Inter-Regionais,Percentual,100,"Estímulo aos Negócios, Emprego e Renda",2917393000
Trabalhador Qualificado,DESENVOLVIMENTO URBANO E ECONÔMICO,70734000,Operacionalização dos Postos de Intermediação de Mão de Obra - SIMM,"Aumentar a atração de investimentos privados e estimular a economia da capital, incentivando setores que impulsionem os pontos fortes da cidade e firmando parcerias estratégicas com a iniciativa privada para criar um ambiente rico em oportunidades de emprego e geração de renda. Entre as principais iniciativas, estão a simplificação e a redução do tempo médio do licenciamento de empreendimentos, a oferta de incentivos para segmentos com elevada absorção de mão de obra, como teleatendimento e telecobrança, a estruturação do polo de economia criativa na capital e assegurar crédito para microempreendedores para diminuir a informalidade e, também, incentivar o setor audiovisual, assim como a geração de postos de trabalho em Salvador.",Subúrbio/Ilhas,Unidade,8500,"Estímulo aos Negócios, Emprego e Renda",2917393000
Trabalhador Qualificado,DESENVOLVIMENTO URBANO E ECONÔMICO,70734000,Operacionalização dos Postos de Intermediação de Mão de Obra - SIMM,"Aumentar a atração de investimentos privados e estimular a economia da capital, incentivando setores que impulsionem os pontos fortes da cidade e firmando parcerias estratégicas com a iniciativa privada para criar um ambiente rico em oportunidades de emprego e geração de renda. Entre as principais iniciativas, estão a simplificação e a redução do tempo médio do licenciamento de empreendimentos, a oferta de incentivos para segmentos com elevada absorção de mão de obra, como teleatendimento e telecobrança, a estruturação do polo de economia criativa na capital e assegurar crédito para microempreendedores para diminuir a informalidade e, também, incentivar o setor audiovisual, assim como a geração de postos de trabalho em Salvador.",Valéria,Unidade,8500,"Estímulo aos Negócios, Emprego e Renda",2917393000
Trabalhador Qualificado,DESENVOLVIMENTO URBANO E ECONÔMICO,70734000,Operacionalização dos Postos de Intermediação de Mão de Obra - SIMM,"Aumentar a atração de investimentos privados e estimular a economia da capital, incentivando setores que impulsionem os pontos fortes da cidade e firmando parcerias estratégicas com a iniciativa privada para criar um ambiente rico em oportunidades de emprego e geração de renda. Entre as principais iniciativas, estão a simplificação e a redução do tempo médio do licenciamento de empreendimentos, a oferta de incentivos para segmentos com elevada absorção de mão de obra, como teleatendimento e telecobrança, a estruturação do polo de economia criativa na capital e assegurar crédito para microempreendedores para diminuir a informalidade e, também, incentivar o setor audiovisual, assim como a geração de postos de trabalho em Salvador.",Pau da Lima,Unidade,8500,"Estímulo aos Negócios, Emprego e Renda",2917393000
Trabalhador Qualificado,DESENVOLVIMENTO URBANO E ECONÔMICO,70734000,Operacionalização dos Postos de Intermediação de Mão de Obra - SIMM,"Aumentar a atração de investimentos privados e estimular a economia da capital, incentivando setores que impulsionem os pontos fortes da cidade e firmando parcerias estratégicas com a iniciativa privada para criar um ambiente rico em oportunidades de emprego e geração de renda. Entre as principais iniciativas, estão a simplificação e a redução do tempo médio do licenciamento de empreendimentos, a oferta de incentivos para segmentos com elevada absorção de mão de obra, como teleatendimento e telecobrança, a estruturação do polo de economia criativa na capital e assegurar crédito para microempreendedores para diminuir a informalidade e, também, incentivar o setor audiovisual, assim como a geração de postos de trabalho em Salvador.",Cabula/Tancredo Neves,Unidade,8500,"Estímulo aos Negócios, Emprego e Renda",2917393000
Trabalhador Qualificado,DESENVOLVIMENTO URBANO E ECONÔMICO,70734000,Operacionalização dos Postos de Intermediação de Mão de Obra - SIMM,"Aumentar a atração de investimentos privados e estimular a economia da capital, incentivando setores que impulsionem os pontos fortes da cidade e firmando parcerias estratégicas com a iniciativa privada para criar um ambiente rico em oportunidades de emprego e geração de renda. Entre as principais iniciativas, estão a simplificação e a redução do tempo médio do licenciamento de empreendimentos, a oferta de incentivos para segmentos com elevada absorção de mão de obra, como teleatendimento e telecobrança, a estruturação do polo de economia criativa na capital e assegurar crédito para microempreendedores para diminuir a informalidade e, também, incentivar o setor audiovisual, assim como a geração de postos de trabalho em Salvador.",Liberdade/São Caetano,Unidade,8500,"Estímulo aos Negócios, Emprego e Renda",2917393000
Trabalhador Qualificado,DESENVOLVIMENTO URBANO E ECONÔMICO,70734000,Operacionalização dos Postos de Intermediação de Mão de Obra - SIMM,"Aumentar a atração de investimentos privados e estimular a economia da capital, incentivando setores que impulsionem os pontos fortes da cidade e firmando parcerias estratégicas com a iniciativa privada para criar um ambiente rico em oportunidades de emprego e geração de renda. Entre as principais iniciativas, estão a simplificação e a redução do tempo médio do licenciamento de empreendimentos, a oferta de incentivos para segmentos com elevada absorção de mão de obra, como teleatendimento e telecobrança, a estruturação do polo de economia criativa na capital e assegurar crédito para microempreendedores para diminuir a informalidade e, também, incentivar o setor audiovisual, assim como a geração de postos de trabalho em Salvador.",Barra/Pituba,Unidade,8500,"Estímulo aos Negócios, Emprego e Renda",2917393000
Trabalhador Qualificado,DESENVOLVIMENTO URBANO E ECONÔMICO,70734000,Operacionalização dos Postos de Intermediação de Mão de Obra - SIMM,"Aumentar a atração de investimentos privados e estimular a economia da capital, incentivando setores que impulsionem os pontos fortes da cidade e firmando parcerias estratégicas com a iniciativa privada para criar um ambiente rico em oportunidades de emprego e geração de renda. Entre as principais iniciativas, estão a simplificação e a redução do tempo médio do licenciamento de empreendimentos, a oferta de incentivos para segmentos com elevada absorção de mão de obra, como teleatendimento e telecobrança, a estruturação do polo de economia criativa na capital e assegurar crédito para microempreendedores para diminuir a informalidade e, também, incentivar o setor audiovisual, assim como a geração de postos de trabalho em Salvador.",Cidade Baixa,Unidade,8500,"Estímulo aos Negócios, Emprego e Renda",2917393000
Trabalhador Qualificado,DESENVOLVIMENTO URBANO E ECONÔMICO,70734000,Operacionalização dos Postos de Intermediação de Mão de Obra - SIMM,"Aumentar a atração de investimentos privados e estimular a economia da capital, incentivando setores que impulsionem os pontos fortes da cidade e firmando parcerias estratégicas com a iniciativa privada para criar um ambiente rico em oportunidades de emprego e geração de renda. Entre as principais iniciativas, estão a simplificação e a redução do tempo médio do licenciamento de empreendimentos, a oferta de incentivos para segmentos com elevada absorção de mão de obra, como teleatendimento e telecobrança, a estruturação do polo de economia criativa na capital e assegurar crédito para microempreendedores para diminuir a informalidade e, também, incentivar o setor audiovisual, assim como a geração de postos de trabalho em Salvador.",Cajazeiras,Unidade,8500,"Estímulo aos Negócios, Emprego e Renda",2917393000
Trabalhador Qualificado,DESENVOLVIMENTO URBANO E ECONÔMICO,70734000,Operacionalização dos Postos de Intermediação de Mão de Obra - SIMM,"Aumentar a atração de investimentos privados e estimular a economia da capital, incentivando setores que impulsionem os pontos fortes da cidade e firmando parcerias estratégicas com a iniciativa privada para criar um ambiente rico em oportunidades de emprego e geração de renda. Entre as principais iniciativas, estão a simplificação e a redução do tempo médio do licenciamento de empreendimentos, a oferta de incentivos para segmentos com elevada absorção de mão de obra, como teleatendimento e telecobrança, a estruturação do polo de economia criativa na capital e assegurar crédito para microempreendedores para diminuir a informalidade e, também, incentivar o setor audiovisual, assim como a geração de postos de trabalho em Salvador.",Centro/Brotas,Unidade,93500,"Estímulo aos Negócios, Emprego e Renda",2917393000
Trabalhador Qualificado,DESENVOLVIMENTO URBANO E ECONÔMICO,70734000,Operacionalização dos Postos de Intermediação de Mão de Obra - SIMM,"Aumentar a atração de investimentos privados e estimular a economia da capital, incentivando setores que impulsionem os pontos fortes da cidade e firmando parcerias estratégicas com a iniciativa privada para criar um ambiente rico em oportunidades de emprego e geração de renda. Entre as principais iniciativas, estão a simplificação e a redução do tempo médio do licenciamento de empreendimentos, a oferta de incentivos para segmentos com elevada absorção de mão de obra, como teleatendimento e telecobrança, a estruturação do polo de economia criativa na capital e assegurar crédito para microempreendedores para diminuir a informalidade e, também, incentivar o setor audiovisual, assim como a geração de postos de trabalho em Salvador.",Itapuã/Ipitanga,Unidade,8500,"Estímulo aos Negócios, Emprego e Renda",2917393000
Empreendedor Beneficiado,DESENVOLVIMENTO URBANO E ECONÔMICO,70734000,Operacionalização dos Postos do Centro Empreendedor - CEM,"Aumentar a atração de investimentos privados e estimular a economia da capital, incentivando setores que impulsionem os pontos fortes da cidade e firmando parcerias estratégicas com a iniciativa privada para criar um ambiente rico em oportunidades de emprego e geração de renda. Entre as principais iniciativas, estão a simplificação e a redução do tempo médio do licenciamento de empreendimentos, a oferta de incentivos para segmentos com elevada absorção de mão de obra, como teleatendimento e telecobrança, a estruturação do polo de economia criativa na capital e assegurar crédito para microempreendedores para diminuir a informalidade e, também, incentivar o setor audiovisual, assim como a geração de postos de trabalho em Salvador.",Cabula/Tancredo Neves,Unidade,1280,"Estímulo aos Negócios, Emprego e Renda",2917393000
Empreendedor Beneficiado,DESENVOLVIMENTO URBANO E ECONÔMICO,70734000,Operacionalização dos Postos do Centro Empreendedor - CEM,"Aumentar a atração de investimentos privados e estimular a economia da capital, incentivando setores que impulsionem os pontos fortes da cidade e firmando parcerias estratégicas com a iniciativa privada para criar um ambiente rico em oportunidades de emprego e geração de renda. Entre as principais iniciativas, estão a simplificação e a redução do tempo médio do licenciamento de empreendimentos, a oferta de incentivos para segmentos com elevada absorção de mão de obra, como teleatendimento e telecobrança, a estruturação do polo de economia criativa na capital e assegurar crédito para microempreendedores para diminuir a informalidade e, também, incentivar o setor audiovisual, assim como a geração de postos de trabalho em Salvador.",Cajazeiras,Unidade,1280,"Estímulo aos Negócios, Emprego e Renda",2917393000
Empreendedor Beneficiado,DESENVOLVIMENTO URBANO E ECONÔMICO,70734000,Operacionalização dos Postos do Centro Empreendedor - CEM,"Aumentar a atração de investimentos privados e estimular a economia da capital, incentivando setores que impulsionem os pontos fortes da cidade e firmando parcerias estratégicas com a iniciativa privada para criar um ambiente rico em oportunidades de emprego e geração de renda. Entre as principais iniciativas, estão a simplificação e a redução do tempo médio do licenciamento de empreendimentos, a oferta de incentivos para segmentos com elevada absorção de mão de obra, como teleatendimento e telecobrança, a estruturação do polo de economia criativa na capital e assegurar crédito para microempreendedores para diminuir a informalidade e, também, incentivar o setor audiovisual, assim como a geração de postos de trabalho em Salvador.",Subúrbio/Ilhas,Unidade,1280,"Estímulo aos Negócios, Emprego e Renda",2917393000
Empreendedor Beneficiado,DESENVOLVIMENTO URBANO E ECONÔMICO,70734000,Operacionalização dos Postos do Centro Empreendedor - CEM,"Aumentar a atração de investimentos privados e estimular a economia da capital, incentivando setores que impulsionem os pontos fortes da cidade e firmando parcerias estratégicas com a iniciativa privada para criar um ambiente rico em oportunidades de emprego e geração de renda. Entre as principais iniciativas, estão a simplificação e a redução do tempo médio do licenciamento de empreendimentos, a oferta de incentivos para segmentos com elevada absorção de mão de obra, como teleatendimento e telecobrança, a estruturação do polo de economia criativa na capital e assegurar crédito para microempreendedores para diminuir a informalidade e, também, incentivar o setor audiovisual, assim como a geração de postos de trabalho em Salvador.",Centro/Brotas,Unidade,14080,"Estímulo aos Negócios, Emprego e Renda",2917393000
Empreendedor Beneficiado,DESENVOLVIMENTO URBANO E ECONÔMICO,70734000,Operacionalização dos Postos do Centro Empreendedor - CEM,"Aumentar a atração de investimentos privados e estimular a economia da capital, incentivando setores que impulsionem os pontos fortes da cidade e firmando parcerias estratégicas com a iniciativa privada para criar um ambiente rico em oportunidades de emprego e geração de renda. Entre as principais iniciativas, estão a simplificação e a redução do tempo médio do licenciamento de empreendimentos, a oferta de incentivos para segmentos com elevada absorção de mão de obra, como teleatendimento e telecobrança, a estruturação do polo de economia criativa na capital e assegurar crédito para microempreendedores para diminuir a informalidade e, também, incentivar o setor audiovisual, assim como a geração de postos de trabalho em Salvador.",Valéria,Unidade,1280,"Estímulo aos Negócios, Emprego e Renda",2917393000
Empreendedor Beneficiado,DESENVOLVIMENTO URBANO E ECONÔMICO,70734000,Operacionalização dos Postos do Centro Empreendedor - CEM,"Aumentar a atração de investimentos privados e estimular a economia da capital, incentivando setores que impulsionem os pontos fortes da cidade e firmando parcerias estratégicas com a iniciativa privada para criar um ambiente rico em oportunidades de emprego e geração de renda. Entre as principais iniciativas, estão a simplificação e a redução do tempo médio do licenciamento de empreendimentos, a oferta de incentivos para segmentos com elevada absorção de mão de obra, como teleatendimento e telecobrança, a estruturação do polo de economia criativa na capital e assegurar crédito para microempreendedores para diminuir a informalidade e, também, incentivar o setor audiovisual, assim como a geração de postos de trabalho em Salvador.",Cidade Baixa,Unidade,1280,"Estímulo aos Negócios, Emprego e Renda",2917393000
Empreendedor Beneficiado,DESENVOLVIMENTO URBANO E ECONÔMICO,70734000,Operacionalização dos Postos do Centro Empreendedor - CEM,"Aumentar a atração de investimentos privados e estimular a economia da capital, incentivando setores que impulsionem os pontos fortes da cidade e firmando parcerias estratégicas com a iniciativa privada para criar um ambiente rico em oportunidades de emprego e geração de renda. Entre as principais iniciativas, estão a simplificação e a redução do tempo médio do licenciamento de empreendimentos, a oferta de incentivos para segmentos com elevada absorção de mão de obra, como teleatendimento e telecobrança, a estruturação do polo de economia criativa na capital e assegurar crédito para microempreendedores para diminuir a informalidade e, também, incentivar o setor audiovisual, assim como a geração de postos de trabalho em Salvador.",Itapuã/Ipitanga,Unidade,1280,"Estímulo aos Negócios, Emprego e Renda",2917393000
Empreendedor Beneficiado,DESENVOLVIMENTO URBANO E ECONÔMICO,70734000,Operacionalização dos Postos do Centro Empreendedor - CEM,"Aumentar a atração de investimentos privados e estimular a economia da capital, incentivando setores que impulsionem os pontos fortes da cidade e firmando parcerias estratégicas com a iniciativa privada para criar um ambiente rico em oportunidades de emprego e geração de renda. Entre as principais iniciativas, estão a simplificação e a redução do tempo médio do licenciamento de empreendimentos, a oferta de incentivos para segmentos com elevada absorção de mão de obra, como teleatendimento e telecobrança, a estruturação do polo de economia criativa na capital e assegurar crédito para microempreendedores para diminuir a informalidade e, também, incentivar o setor audiovisual, assim como a geração de postos de trabalho em Salvador.",Liberdade/São Caetano,Unidade,1280,"Estímulo aos Negócios, Emprego e Renda",2917393000
Empreendedor Beneficiado,DESENVOLVIMENTO URBANO E ECONÔMICO,70734000,Operacionalização dos Postos do Centro Empreendedor - CEM,"Aumentar a atração de investimentos privados e estimular a economia da capital, incentivando setores que impulsionem os pontos fortes da cidade e firmando parcerias estratégicas com a iniciativa privada para criar um ambiente rico em oportunidades de emprego e geração de renda. Entre as principais iniciativas, estão a simplificação e a redução do tempo médio do licenciamento de empreendimentos, a oferta de incentivos para segmentos com elevada absorção de mão de obra, como teleatendimento e telecobrança, a estruturação do polo de economia criativa na capital e assegurar crédito para microempreendedores para diminuir a informalidade e, também, incentivar o setor audiovisual, assim como a geração de postos de trabalho em Salvador.",Pau da Lima,Unidade,1280,"Estímulo aos Negócios, Emprego e Renda",2917393000
Empreendedor Beneficiado,DESENVOLVIMENTO URBANO E ECONÔMICO,70734000,Operacionalização dos Postos do Centro Empreendedor - CEM,"Aumentar a atração de investimentos privados e estimular a economia da capital, incentivando setores que impulsionem os pontos fortes da cidade e firmando parcerias estratégicas com a iniciativa privada para criar um ambiente rico em oportunidades de emprego e geração de renda. Entre as principais iniciativas, estão a simplificação e a redução do tempo médio do licenciamento de empreendimentos, a oferta de incentivos para segmentos com elevada absorção de mão de obra, como teleatendimento e telecobrança, a estruturação do polo de economia criativa na capital e assegurar crédito para microempreendedores para diminuir a informalidade e, também, incentivar o setor audiovisual, assim como a geração de postos de trabalho em Salvador.",Barra/Pituba,Unidade,1280,"Estímulo aos Negócios, Emprego e Renda",2917393000
Financiamentos Parcerias Público - Privadas Realizados,DESENVOLVIMENTO URBANO E ECONÔMICO,70734000,Gestão Financeira das Parcerias Público - Privadas,"Aumentar a atração de investimentos privados e estimular a economia da capital, incentivando setores que impulsionem os pontos fortes da cidade e firmando parcerias estratégicas com a iniciativa privada para criar um ambiente rico em oportunidades de emprego e geração de renda. Entre as principais iniciativas, estão a simplificação e a redução do tempo médio do licenciamento de empreendimentos, a oferta de incentivos para segmentos com elevada absorção de mão de obra, como teleatendimento e telecobrança, a estruturação do polo de economia criativa na capital e assegurar crédito para microempreendedores para diminuir a informalidade e, também, incentivar o setor audiovisual, assim como a geração de postos de trabalho em Salvador.",Inter-Regionais,Percentual,100,"Estímulo aos Negócios, Emprego e Renda",2917393000
